date,fuel,mwh
1/29/2007,Coal,321785.34
1/29/2007,Gas,398987.82
1/29/2007,Hydro,1415.53
1/29/2007,Nuclear,120045.09
1/29/2007,Oth,10954.40
1/29/2007,Wnd,22486.46
1/30/2007,Coal,325354.95
1/30/2007,Gas,355613.32
1/30/2007,Hydro,1148.77
1/30/2007,Nuclear,119997.88
1/30/2007,Oth,11217.83
1/30/2007,Wnd,13364.66
1/31/2007,Coal,344394.15
1/31/2007,Gas,404435.71
1/31/2007,Hydro,1104.61
1/31/2007,Nuclear,120039.07
1/31/2007,Oth,10954.47
1/31/2007,Wnd,23482.53
2/1/2007,Coal,350266.93
2/1/2007,Gas,370770.82
2/1/2007,Hydro,1040.90
2/1/2007,Nuclear,119925.04
2/1/2007,Oth,5683.60
2/1/2007,Wnd,8047.02
2/2/2007,Coal,342629.66
2/2/2007,Gas,422585.43
2/2/2007,Hydro,821.29
2/2/2007,Nuclear,119995.59
2/2/2007,Oth,7946.01
2/2/2007,Wnd,5775.44
2/3/2007,Coal,338074.83
2/3/2007,Gas,370660.11
2/3/2007,Hydro,2018.48
2/3/2007,Nuclear,119233.55
2/3/2007,Oth,15027.67
2/3/2007,Wnd,23861.57
2/4/2007,Coal,326676.25
2/4/2007,Gas,294267.47
2/4/2007,Hydro,358.29
2/4/2007,Nuclear,120044.41
2/4/2007,Oth,6479.26
2/4/2007,Wnd,9514.60
2/5/2007,Coal,319524.77
2/5/2007,Gas,305499.82
2/5/2007,Hydro,1247.91
2/5/2007,Nuclear,120081.82
2/5/2007,Oth,8566.23
2/5/2007,Wnd,17259.85
2/6/2007,Coal,323584.69
2/6/2007,Gas,259680.28
2/6/2007,Hydro,1032.56
2/6/2007,Nuclear,120149.93
2/6/2007,Oth,8685.54
2/6/2007,Wnd,28968.83
2/7/2007,Coal,301856.39
2/7/2007,Gas,249285.49
2/7/2007,Hydro,1190.26
2/7/2007,Nuclear,120078.65
2/7/2007,Oth,6703.07
2/7/2007,Wnd,21892.47
2/8/2007,Coal,302481.72
2/8/2007,Gas,310457.89
2/8/2007,Hydro,1110.80
2/8/2007,Nuclear,120023.79
2/8/2007,Oth,9626.40
2/8/2007,Wnd,11758.81
2/9/2007,Coal,306110.17
2/9/2007,Gas,364721.42
2/9/2007,Hydro,782.00
2/9/2007,Nuclear,120079.18
2/9/2007,Oth,12024.23
2/9/2007,Wnd,3880.31
2/10/2007,Coal,328559.77
2/10/2007,Gas,323294.60
2/10/2007,Hydro,646.21
2/10/2007,Nuclear,120134.60
2/10/2007,Oth,9347.07
2/10/2007,Wnd,3289.87
2/11/2007,Coal,322335.69
