variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
delta_theta[1],-0.026168284368290003,-0.02720395,0.061912871135231355,0.06184569530999999,-0.12556479999999998,0.07779179,1.0000674097895355,11691.454597266642,9934.246981109347
delta_theta[2],-0.025649597270837998,-0.02630335,0.06722869788954644,0.06704673023999999,-0.1346485,0.087237815,0.9998489848432958,11830.422322312661,9842.902236750833
delta_theta[3],-0.0259306084637194,-0.0263202,0.0689884448159314,0.06795608294999998,-0.13763285,0.08830576999999994,0.9996448879007437,12001.139639760242,9880.436407650393
delta_theta[4],-0.026709268982066,-0.027677149999999998,0.06132715650844949,0.060413207190000005,-0.12482995,0.07586801999999995,0.9999429240094231,12396.792175213459,9499.425206727698
delta_theta[5],-0.026121018803997,-0.0254261,0.06861654129597262,0.06830204766,-0.1393518,0.08596649999999999,1.000318002523049,11870.836915640972,9123.757288954937
delta_theta[6],-0.027389071901708,-0.026851649999999998,0.06963913870468856,0.06910620989999999,-0.14274030000000001,0.08628781499999998,1.0001370278245716,12177.268001138342,9151.39243348226
delta_theta[7],-0.027192861437829997,-0.026878449999999998,0.06930130130420657,0.07047783729,-0.14137064999999996,0.08518986499999998,0.9999823055451484,11125.317624373834,9319.669970747365
delta_theta[8],-0.026967408915258,-0.02734595,0.07035444241386567,0.07171692024,-0.14250319999999997,0.09003226999999994,1.0007107089544935,11736.41966167372,9287.14063837206
delta_theta[9],-0.034156116233789,-0.03047085,0.031680938669276945,0.02759311338,-0.09088073499999999,0.008809187999999982,1.0011912198588862,11202.177803170427,9261.200293602977
delta_theta[10],-0.025242320873389998,-0.0262301,0.06874740162813751,0.06964120611,-0.1368187,0.08668021,1.0002253495134834,11740.858515204605,9621.711618994343
delta_theta[11],-0.02613420751828,-0.02609065,0.0709463397318056,0.07120134608999999,-0.1421293,0.0914605899999999,1.0009205103879963,11518.725448221503,9719.650644391228
delta_theta[12],-0.026396849882,-0.02561775,0.06722057337346149,0.06777765204,-0.13825739999999997,0.08205108999999995,0.9997499877237477,12622.702473020814,9283.490503863166
delta_theta[13],-0.026902768617429997,-0.028332749999999997,0.059470793641912004,0.05819553411,-0.1225278,0.07290735499999995,1.0002038843005212,11724.144117759066,10219.969259017693
delta_theta[14],-0.025026831669058003,-0.024440299999999998,0.06999501529276177,0.07018576509,-0.1413043,0.08959635499999993,1.0001010447459555,11821.03965155534,8521.701436773292
delta_theta[15],-0.026547686165406,-0.02811295,0.06594428928395085,0.06618111423,-0.1319617,0.08273233499999995,0.999944022640204,11915.109623271344,9933.738045267104
delta_theta[16],-0.026235768896892997,-0.02633175,0.06801507847795084,0.06845319873,-0.13719535000000002,0.08665258499999999,1.0003892905549736,11057.004045546904,9179.40748532329
delta_theta[17],-0.02776750005555765,-0.029132949999999998,0.06515986429364702,0.06460473977999999,-0.13325465,0.08231140999999992,0.9998644894993999,10856.882946015556,9682.182625008594
delta_theta[18],-0.0272359601183379,-0.028781,0.06178027289574488,0.060922332030000005,-0.1271334,0.07552694999999991,1.0011848736856157,12434.71453362154,9975.26570917893
delta_theta[19],-0.0260227561641388,-0.0267215,0.0650288908862496,0.0655361091,-0.12953115,0.08094101999999995,1.0003612268629276,11445.89544377004,10246.267124074962
delta_theta[20],-0.026765391997059997,-0.02669515,0.06824138869081982,0.06846365105999999,-0.13949485,0.08481952499999997,1.0004996319378197,11964.624336957999,9202.461070309482
delta_theta[21],-0.026448904987566,-0.0274796,0.06872648642685956,0.07014751401000001,-0.13840239999999998,0.08832516999999998,1.0001155491117757,11537.125582591421,9444.689870779508
delta_theta[22],-0.026540535213172,-0.0256681,0.06668830279866718,0.06627266477999999,-0.13720454999999998,0.08148523999999999,1.0007145069708794,11811.653009805663,8828.518015542779
delta_theta[23],-0.0281167875735201,-0.0270602,0.06700189827558647,0.06833703701999999,-0.14054049999999998,0.07921208499999999,1.0000331710431116,12002.553050740937,9630.775714264293
delta_theta[24],-0.02618499021584,-0.02626335,0.07067743381333905,0.0712544973,-0.14342024999999997,0.09072472499999994,1.0000687526631786,11663.806005351353,9830.011729219083
delta_theta[25],-0.026102833291649998,-0.0271548,0.07012028655364318,0.07061379171,-0.13881429999999997,0.09141030499999994,1.000785037301273,10945.384217868355,9331.073949193455
delta_theta[26],-0.026584207891695,-0.0278209,0.06657352633388351,0.06682812087,-0.13375659999999998,0.08450924999999997,1.0009450101856687,11915.415207974538,9492.941733945947
delta_theta[27],-0.0260233471344769,-0.02676035,0.06743539244316875,0.06759729375,-0.1353879,0.08557598999999998,1.0003082345195127,11962.998506671987,9991.313455203679
delta_theta[28],-0.02636193175063,-0.02693315,0.06655205667940045,0.06721389338999999,-0.13361575,0.08536779999999998,1.0000169224306077,11249.77968499328,9519.614282020628
