.draw,parameter,estimate
24,p_multi_trump,0.45641880838365895
24,p_multi_desantis,0.3484450840172448
24,p_multi_other,0.1951361075990962
24,p_switch_trump,0.18483047323598367
24,p_switch_desantis,0.8151695267640163
25,p_h2h_trump,0.47680882342754727
25,p_h2h_desantis,0.5231911765724528
25,p_multi_trump,0.45554905702796816
25,p_multi_desantis,0.3389448156029415
25,p_multi_other,0.20550612736909046
25,p_switch_trump,0.10345076651362513
25,p_switch_desantis,0.8965492334863748
26,p_h2h_trump,0.48399878913293565
26,p_h2h_desantis,0.5160012108670644
26,p_multi_trump,0.4604029085698557
26,p_multi_desantis,0.34375543231297045
26,p_multi_other,0.19584165911717394
26,p_switch_trump,0.12048448052087984
26,p_switch_desantis,0.8795155194791202
27,p_h2h_trump,0.48721622577752566
27,p_h2h_desantis,0.5127837742224743
27,p_multi_trump,0.46609046295871126
27,p_multi_desantis,0.33844424967882025
27,p_multi_other,0.19546528736246846
27,p_switch_trump,0.10807935825269595
27,p_switch_desantis,0.8919206417473039
28,p_h2h_trump,0.491300073165302
28,p_h2h_desantis,0.5086999268346979
28,p_multi_trump,0.4563614041924905
28,p_multi_desantis,0.3511887548286638
28,p_multi_other,0.19244984097884563
28,p_switch_trump,0.18154688408732952
28,p_switch_desantis,0.8184531159126704
29,p_h2h_trump,0.49498916759375927
29,p_h2h_desantis,0.5050108324062408
29,p_multi_trump,0.4595621509054671
29,p_multi_desantis,0.3457373500226523
29,p_multi_other,0.19470049907188067
29,p_switch_trump,0.18195647600889314
29,p_switch_desantis,0.8180435239911069
30,p_h2h_trump,0.4775100086202674
30,p_h2h_desantis,0.5224899913797327
30,p_multi_trump,0.4605327217068291
30,p_multi_desantis,0.3462214420047509
30,p_multi_other,0.19324583628842007
30,p_switch_trump,0.08785331285533948
30,p_switch_desantis,0.9121466871446605
31,p_h2h_trump,0.49025508411133784
31,p_h2h_desantis,0.5097449158886621
31,p_multi_trump,0.45925010057410537
31,p_multi_desantis,0.3482369050515113
31,p_multi_other,0.1925129943743833
31,p_switch_trump,0.16105397787817133
31,p_switch_desantis,0.8389460221218287
32,p_h2h_trump,0.48905624944019666
32,p_h2h_desantis,0.5109437505598033
32,p_multi_trump,0.4569949273224286
32,p_multi_desantis,0.3507036425753657
32,p_multi_other,0.1923014301022057
32,p_switch_trump,0.16672430413402495
32,p_switch_desantis,0.833275695865975
33,p_h2h_trump,0.48054175794163406
33,p_h2h_desantis,0.5194582420583659
33,p_multi_trump,0.45772351918610726
33,p_multi_desantis,0.35017387494572544
33,p_multi_other,0.1921026058681673
33,p_switch_trump,0.1187815160153845
33,p_switch_desantis,0.8812184839846154
34,p_h2h_trump,0.48465843886665044
34,p_h2h_desantis,0.5153415611333497
34,p_multi_trump,0.4597682356785918
34,p_multi_desantis,0.34818604257347396
34,p_multi_other,0.19204572174793436
34,p_switch_trump,0.12960561142167878
34,p_switch_desantis,0.8703943885783213
35,p_h2h_trump,0.4919237244535452
35,p_h2h_desantis,0.5080762755464548
35,p_multi_trump,0.4600789463708979
35,p_multi_desantis,0.3450253413051307
35,p_multi_other,0.19489571232397143
35,p_switch_trump,0.16339393875280492
35,p_switch_desantis,0.836606061247195
36,p_h2h_trump,0.47500369911022616
36,p_h2h_desantis,0.5249963008897738
36,p_multi_trump,0.4627697062617208
36,p_multi_desantis,0.34385360663360404
36,p_multi_other,0.193376687104675
36,p_switch_trump,0.06326508656073453
36,p_switch_desantis,0.9367349134392655
37,p_h2h_trump,0.472899853270644
37,p_h2h_desantis,0.5271001467293561
37,p_multi_trump,0.46393152298229356
37,p_multi_desantis,0.34086025843749507
37,p_multi_other,0.1952082185802115
37,p_switch_trump,0.04594238067218112
37,p_switch_desantis,0.954057619327819
38,p_h2h_trump,0.4706318897051601
38,p_h2h_desantis,0.5293681102948398
38,p_multi_trump,0.4615721259629783
38,p_multi_desantis,0.3419507161425033
38,p_multi_other,0.1964771578945184
38,p_switch_trump,0.04611102806691497
38,p_switch_desantis,0.953888971933085
39,p_h2h_trump,0.4736743551546639
39,p_h2h_desantis,0.5263256448453362
39,p_multi_trump,0.46015891733498954
39,p_multi_desantis,0.34094532930792026
39,p_multi_other,0.19889575335709017
39,p_switch_trump,0.06795236998051543
39,p_switch_desantis,0.9320476300194847
40,p_h2h_trump,0.48454526515151225
40,p_h2h_desantis,0.5154547348484878
40,p_multi_trump,0.46119508894204453
40,p_multi_desantis,0.343854149051186
40,p_multi_other,0.19495076200676953
40,p_switch_trump,0.11977473680588581
40,p_switch_desantis,0.8802252631941142
41,p_h2h_trump,0.4807827148692881
41,p_h2h_desantis,0.519217285130712
41,p_multi_trump,0.463252549956228
41,p_multi_desantis,0.3386590166579941
41,p_multi_other,0.19808843338577795
41,p_switch_trump,0.08849666087731639
41,p_switch_desantis,0.9115033391226837
42,p_h2h_trump,0.48896582930236404
42,p_h2h_desantis,0.511034170697636
42,p_multi_trump,0.4614228634460705
42,p_multi_desantis,0.3432165581657334
42,p_multi_other,0.1953605783881962
42,p_switch_trump,0.14098528005769737
42,p_switch_desantis,0.8590147199423027
43,p_h2h_trump,0.48099030724429276
43,p_h2h_desantis,0.5190096927557072
43,p_multi_trump,0.4624299076430959
43,p_multi_desantis,0.3406368373685476
43,p_multi_other,0.1969332549883565
43,p_switch_trump,0.09424715801449714
43,p_switch_desantis,0.9057528419855029
44,p_h2h_trump,0.48610853352874883
44,p_h2h_desantis,0.5138914664712512
44,p_multi_trump,0.463648117357464
44,p_multi_desantis,0.3419198310378437
44,p_multi_other,0.19443205160469232
44,p_switch_trump,0.11551807423680342
44,p_switch_desantis,0.8844819257631966
45,p_h2h_trump,0.48654767156377193
45,p_h2h_desantis,0.513452328436228
45,p_multi_trump,0.4571720424513677
45,p_multi_desantis,0.34787076078665835
45,p_multi_other,0.1949571967619739
45,p_switch_trump,0.15067732610183845
45,p_switch_desantis,0.8493226738981615
46,p_h2h_trump,0.49175374416546214
46,p_h2h_desantis,0.5082462558345379
46,p_multi_trump,0.4671967881411546
46,p_multi_desantis,0.3362617781842911
46,p_multi_other,0.1965414336745543
46,p_switch_trump,0.12494544058821953
46,p_switch_desantis,0.8750545594117806
47,p_h2h_trump,0.4893356889738876
47,p_h2h_desantis,0.5106643110261125
47,p_multi_trump,0.4670481914334862
47,p_multi_desantis,0.33692852131107426
47,p_multi_other,0.19602328725543966
47,p_switch_trump,0.11369821337277315
47,p_switch_desantis,0.8863017866272268
48,p_h2h_trump,0.4841873267902768
48,p_h2h_desantis,0.5158126732097231
48,p_multi_trump,0.4691403751706883
48,p_multi_desantis,0.33679033023858396
48,p_multi_other,0.19406929459072766
48,p_switch_trump,0.0775339120561088
48,p_switch_desantis,0.9224660879438913
49,p_h2h_trump,0.48882005391950883
49,p_h2h_desantis,0.5111799460804911
49,p_multi_trump,0.46370427378762813
49,p_multi_desantis,0.3432338692899626
49,p_multi_other,0.19306185692240924
49,p_switch_trump,0.1300918810802417
49,p_switch_desantis,0.8699081189197583
50,p_h2h_trump,0.48577522016568975
50,p_h2h_desantis,0.5142247798343104
50,p_multi_trump,0.46437959445068905
50,p_multi_desantis,0.3414834816973599
50,p_multi_other,0.19413692385195114
50,p_switch_trump,0.11020894578157124
50,p_switch_desantis,0.8897910542184287
51,p_h2h_trump,0.4783380629102938
51,p_h2h_desantis,0.5216619370897062
51,p_multi_trump,0.4590237882727579
51,p_multi_desantis,0.34969564573867434
51,p_multi_other,0.1912805659885678
51,p_switch_trump,0.10097353349890359
51,p_switch_desantis,0.8990264665010963
52,p_h2h_trump,0.4919066969410054
52,p_h2h_desantis,0.5080933030589947
52,p_multi_trump,0.4691525445202554
52,p_multi_desantis,0.3386558568566502
52,p_multi_other,0.19219159862309448
52,p_switch_trump,0.11839306496103924
52,p_switch_desantis,0.8816069350389607
53,p_h2h_trump,0.48704384210953044
53,p_h2h_desantis,0.5129561578904698
53,p_multi_trump,0.45538002696059315
53,p_multi_desantis,0.34992974539339766
53,p_multi_other,0.19469022764600932
53,p_switch_trump,0.16263690033024775
53,p_switch_desantis,0.8373630996697523
54,p_h2h_trump,0.4875881861481623
54,p_h2h_desantis,0.5124118138518376
54,p_multi_trump,0.4576005504062529
54,p_multi_desantis,0.34742371585410164
54,p_multi_other,0.19497573373964544
54,p_switch_trump,0.15380188686430285
54,p_switch_desantis,0.8461981131356971
55,p_h2h_trump,0.48443862214858324
55,p_h2h_desantis,0.5155613778514165
55,p_multi_trump,0.46279257373989685
55,p_multi_desantis,0.34541068894909854
55,p_multi_other,0.19179673731100447
55,p_switch_trump,0.11285931508619287
55,p_switch_desantis,0.8871406849138072
56,p_h2h_trump,0.48751252562157077
56,p_h2h_desantis,0.5124874743784295
56,p_multi_trump,0.45921704694647236
56,p_multi_desantis,0.35020137224876297
56,p_multi_other,0.19058158080476487
56,p_switch_trump,0.14846911519788877
56,p_switch_desantis,0.8515308848021111
57,p_h2h_trump,0.4899656129874087
57,p_h2h_desantis,0.5100343870125913
57,p_multi_trump,0.4683870844888926
57,p_multi_desantis,0.3432954432461055
57,p_multi_other,0.18831747226500187
57,p_switch_trump,0.114585907717318
57,p_switch_desantis,0.885414092282682
58,p_h2h_trump,0.48806936950756724
58,p_h2h_desantis,0.5119306304924328
58,p_multi_trump,0.4654297271824411
58,p_multi_desantis,0.3452008356150022
58,p_multi_other,0.18936943720255675
58,p_switch_trump,0.11955277820734041
58,p_switch_desantis,0.8804472217926596
59,p_h2h_trump,0.4902756691403695
59,p_h2h_desantis,0.5097243308596305
59,p_multi_trump,0.45472969251540685
59,p_multi_desantis,0.3472032712548417
59,p_multi_other,0.19806703622975147
59,p_switch_trump,0.17946437378772334
59,p_switch_desantis,0.8205356262122767
60,p_h2h_trump,0.4841396322581174
60,p_h2h_desantis,0.5158603677418826
60,p_multi_trump,0.46107047707380705
60,p_multi_desantis,0.344645461564263
60,p_multi_other,0.19428406136192997
60,p_switch_trump,0.11873930894071165
60,p_switch_desantis,0.8812606910592883
61,p_h2h_trump,0.48442674861521295
61,p_h2h_desantis,0.5155732513847872
61,p_multi_trump,0.46146216627551395
61,p_multi_desantis,0.34201089966683573
61,p_multi_other,0.19652693405765043
61,p_switch_trump,0.11685208671175021
61,p_switch_desantis,0.8831479132882497
62,p_h2h_trump,0.48855817888219927
62,p_h2h_desantis,0.5114418211178007
62,p_multi_trump,0.4615609303667744
62,p_multi_desantis,0.34493803654898497
62,p_multi_other,0.19350103308424063
62,p_switch_trump,0.1395199192743928
62,p_switch_desantis,0.8604800807256072
63,p_h2h_trump,0.4837674224124665
63,p_h2h_desantis,0.5162325775875336
63,p_multi_trump,0.45791862267866207
63,p_multi_desantis,0.3410504917803559
63,p_multi_other,0.2010308855409821
63,p_switch_trump,0.12858123598393484
63,p_switch_desantis,0.8714187640160651
64,p_h2h_trump,0.4789307777970148
64,p_h2h_desantis,0.5210692222029851
64,p_multi_trump,0.46443284265294205
64,p_multi_desantis,0.3400683337669469
64,p_multi_other,0.19549882358011095
64,p_switch_trump,0.07415868228041707
64,p_switch_desantis,0.9258413177195829
65,p_h2h_trump,0.49068525440291627
65,p_h2h_desantis,0.5093147455970837
65,p_multi_trump,0.4585619595581871
65,p_multi_desantis,0.34423466035694084
65,p_multi_other,0.19720338008487207
65,p_switch_trump,0.16289424061039925
65,p_switch_desantis,0.8371057593896007
66,p_h2h_trump,0.49083076454183955
66,p_h2h_desantis,0.5091692354581605
66,p_multi_trump,0.4564983400926175
66,p_multi_desantis,0.34566416479242756
66,p_multi_other,0.197837495114955
66,p_switch_trump,0.17353851164195605
66,p_switch_desantis,0.826461488358044
67,p_h2h_trump,0.48579443430987806
67,p_h2h_desantis,0.5142055656901219
67,p_multi_trump,0.4534291990785213
67,p_multi_desantis,0.3477749461559803
67,p_multi_other,0.1987958547654983
67,p_switch_trump,0.16280638884314327
67,p_switch_desantis,0.8371936111568568
68,p_h2h_trump,0.4824114265475014
68,p_h2h_desantis,0.5175885734524985
68,p_multi_trump,0.46234890739694534
68,p_multi_desantis,0.3463626344657651
68,p_multi_other,0.19128845813728956
68,p_switch_trump,0.10488097058191034
68,p_switch_desantis,0.8951190294180896
69,p_h2h_trump,0.48256303930294997
69,p_h2h_desantis,0.5174369606970501
69,p_multi_trump,0.4627563562495783
69,p_multi_desantis,0.3465014029269714
69,p_multi_other,0.19074224082345045
69,p_switch_trump,0.10384004595869567
69,p_switch_desantis,0.8961599540413043
70,p_h2h_trump,0.481048574764266
70,p_h2h_desantis,0.5189514252357341
70,p_multi_trump,0.46187527227507186
70,p_multi_desantis,0.3460386455399603
70,p_multi_other,0.19208608218496798
70,p_switch_trump,0.09981619839969116
70,p_switch_desantis,0.900183801600309
71,p_h2h_trump,0.47979717949496137
71,p_h2h_desantis,0.5202028205050385
71,p_multi_trump,0.46440668646574507
71,p_multi_desantis,0.3458070403546068
71,p_multi_other,0.18978627317964805
71,p_switch_trump,0.0810938155397992
71,p_switch_desantis,0.9189061844602009
72,p_h2h_trump,0.48928845086522144
72,p_h2h_desantis,0.5107115491347785
72,p_multi_trump,0.4632360380171235
72,p_multi_desantis,0.3481493484126956
72,p_multi_other,0.18861461357018078
72,p_switch_trump,0.1381251025833383
72,p_switch_desantis,0.8618748974166617
73,p_h2h_trump,0.4887134228346905
73,p_h2h_desantis,0.5112865771653095
73,p_multi_trump,0.4610100934349457
73,p_multi_desantis,0.3435981356627768
73,p_multi_other,0.19539177090227744
73,p_switch_trump,0.141783501279592
73,p_switch_desantis,0.8582164987204081
74,p_h2h_trump,0.4813685850918425
74,p_h2h_desantis,0.5186314149081575
74,p_multi_trump,0.4574135966455705
74,p_multi_desantis,0.349005483348039
74,p_multi_other,0.1935809200063905
74,p_switch_trump,0.12374664014140022
74,p_switch_desantis,0.8762533598585996
75,p_h2h_trump,0.48807366377163147
75,p_h2h_desantis,0.5119263362283686
75,p_multi_trump,0.4634647972774742
75,p_multi_desantis,0.3414682625382062
75,p_multi_other,0.19506694018431958
75,p_switch_trump,0.12615600814214978
75,p_switch_desantis,0.8738439918578501
76,p_h2h_trump,0.4922105690042773
76,p_h2h_desantis,0.5077894309957227
76,p_multi_trump,0.45985147253170383
76,p_multi_desantis,0.341997576403472
76,p_multi_other,0.19815095106482422
76,p_switch_trump,0.1633052796299087
76,p_switch_desantis,0.8366947203700913
77,p_h2h_trump,0.4863089872144863
77,p_h2h_desantis,0.5136910127855138
77,p_multi_trump,0.46185820224964713
77,p_multi_desantis,0.3394646602292049
77,p_multi_other,0.198677137521148
77,p_switch_trump,0.12306793458928571
77,p_switch_desantis,0.8769320654107143
78,p_h2h_trump,0.4773119679298149
78,p_h2h_desantis,0.5226880320701852
78,p_multi_trump,0.45465819334909907
78,p_multi_desantis,0.3477633833633994
78,p_multi_other,0.1975784232875016
78,p_switch_trump,0.11465712805973617
78,p_switch_desantis,0.8853428719402638
79,p_h2h_trump,0.48483780266976195
79,p_h2h_desantis,0.515162197330238
79,p_multi_trump,0.4605260046486465
79,p_multi_desantis,0.34373497360913735
79,p_multi_other,0.1957390217422161
79,p_switch_trump,0.12420516770096822
79,p_switch_desantis,0.8757948322990318
80,p_h2h_trump,0.4817236430294522
80,p_h2h_desantis,0.518276356970548
80,p_multi_trump,0.4566419271126888
80,p_multi_desantis,0.3444585232060371
80,p_multi_other,0.1988995496812742
80,p_switch_trump,0.12610242686298428
80,p_switch_desantis,0.8738975731370157
81,p_h2h_trump,0.48907752087031203
81,p_h2h_desantis,0.510922479129688
81,p_multi_trump,0.4661720083783592
81,p_multi_desantis,0.3396998589682062
81,p_multi_other,0.19412813265343465
81,p_switch_trump,0.11799172113216923
81,p_switch_desantis,0.8820082788678308
82,p_h2h_trump,0.48336642815045333
82,p_h2h_desantis,0.5166335718495466
82,p_multi_trump,0.4608862047847481
82,p_multi_desantis,0.34698434286116925
82,p_multi_other,0.19212945235408255
82,p_switch_trump,0.11700560788710085
82,p_switch_desantis,0.8829943921128992
83,p_h2h_trump,0.49102089356888434
83,p_h2h_desantis,0.5089791064311155
83,p_multi_trump,0.4594802181506117
83,p_multi_desantis,0.3478462861674389
83,p_multi_other,0.19267349568194936
83,p_switch_trump,0.1637001254720451
83,p_switch_desantis,0.8362998745279548
84,p_h2h_trump,0.48204514206129645
84,p_h2h_desantis,0.51795485793870355
84,p_multi_trump,0.45659143525694035
84,p_multi_desantis,0.34284267530282314
84,p_multi_other,0.20056588944023654
84,p_switch_trump,0.12690945043245078
84,p_switch_desantis,0.8730905495675493
85,p_h2h_trump,0.4982257685423633
85,p_h2h_desantis,0.5017742314576368
85,p_multi_trump,0.4684837102717126
85,p_multi_desantis,0.3413580810270178
85,p_multi_other,0.19015820870126957
85,p_switch_trump,0.15640691229571987
85,p_switch_desantis,0.8435930877042801
86,p_h2h_trump,0.48766233415536325
86,p_h2h_desantis,0.5123376658446367
86,p_multi_trump,0.46031307059432086
86,p_multi_desantis,0.3479004244995558
86,p_multi_other,0.19178650490612328
86,p_switch_trump,0.1426026485775391
86,p_switch_desantis,0.8573973514224609
87,p_h2h_trump,0.48981914654784
87,p_h2h_desantis,0.5101808534521601
87,p_multi_trump,0.4597433875394181
87,p_multi_desantis,0.3429738618210998
87,p_multi_other,0.19728275063948222
87,p_switch_trump,0.15245001862014176
87,p_switch_desantis,0.8475499813798582
88,p_h2h_trump,0.4937430478116468
88,p_h2h_desantis,0.5062569521883532
88,p_multi_trump,0.4647154987116498
88,p_multi_desantis,0.33954062822649494
88,p_multi_other,0.19574387306185523
88,p_switch_trump,0.1482935258506112
88,p_switch_desantis,0.8517064741493888
89,p_h2h_trump,0.48128285218902145
89,p_h2h_desantis,0.5187171478109787
89,p_multi_trump,0.4576241345844922
89,p_multi_desantis,0.3459368546973252
89,p_multi_other,0.19643901071818268
89,p_switch_trump,0.12043797979857848
89,p_switch_desantis,0.8795620202014216
90,p_h2h_trump,0.48335994157276385
90,p_h2h_desantis,0.5166400584272361
90,p_multi_trump,0.4566944306891248
90,p_multi_desantis,0.34681970823006614
90,p_multi_other,0.19648586108080907
90,p_switch_trump,0.1357121104641329
90,p_switch_desantis,0.864287889535867
91,p_h2h_trump,0.4920962781243411
91,p_h2h_desantis,0.5079037218756588
91,p_multi_trump,0.4616088197252287
91,p_multi_desantis,0.34669373787779256
91,p_multi_other,0.1916974423969787
91,p_switch_trump,0.15903946353116763
91,p_switch_desantis,0.8409605364688324
92,p_h2h_trump,0.488407340563025
92,p_h2h_desantis,0.5115926594369751
92,p_multi_trump,0.4575005282446773
92,p_multi_desantis,0.34971830088972083
92,p_multi_other,0.19278117086560193
92,p_switch_trump,0.1603207003026997
92,p_switch_desantis,0.8396792996973002
93,p_h2h_trump,0.496596408904246
93,p_h2h_desantis,0.5034035910957539
93,p_multi_trump,0.4587421645072162
93,p_multi_desantis,0.34830856362803914
93,p_multi_other,0.19294927186474464
93,p_switch_trump,0.19618754728219556
93,p_switch_desantis,0.8038124527178044
94,p_h2h_trump,0.4955739416408174
94,p_h2h_desantis,0.5044260583591826
94,p_multi_trump,0.46034315231000555
94,p_multi_desantis,0.3468645908440157
94,p_multi_other,0.19279225684597884
94,p_switch_trump,0.18273964892146904
94,p_switch_desantis,0.817260351078531
95,p_h2h_trump,0.4743647645220231
95,p_h2h_desantis,0.525635235477977
95,p_multi_trump,0.45562389916858526
95,p_multi_desantis,0.3459077841518996
95,p_multi_other,0.19846831667951517
95,p_switch_trump,0.09442749183840966
95,p_switch_desantis,0.9055725081615903
96,p_h2h_trump,0.48568554734112585
96,p_h2h_desantis,0.5143144526588743
96,p_multi_trump,0.4552381961164678
96,p_multi_desantis,0.3463165963286133
96,p_multi_other,0.19844520755491898
96,p_switch_trump,0.15342951134877786
96,p_switch_desantis,0.8465704886512222
97,p_h2h_trump,0.48976250627306195
97,p_h2h_desantis,0.5102374937269379
97,p_multi_trump,0.4669155218707066
97,p_multi_desantis,0.3382954001953525
97,p_multi_other,0.19478907793394076
97,p_switch_trump,0.11729089045795191
97,p_switch_desantis,0.8827091095420481
98,p_h2h_trump,0.4815285904355256
98,p_h2h_desantis,0.5184714095644744
98,p_multi_trump,0.4612828490823763
98,p_multi_desantis,0.3442355429071724
98,p_multi_other,0.19448160801045125
98,p_switch_trump,0.10410105901665148
98,p_switch_desantis,0.8958989409833485
99,p_h2h_trump,0.48232620490179423
99,p_h2h_desantis,0.5176737950982059
99,p_multi_trump,0.45256193986596627
99,p_multi_desantis,0.3497030579399522
99,p_multi_other,0.1977350021940816
99,p_switch_trump,0.15052603082692267
99,p_switch_desantis,0.8494739691730774
100,p_h2h_trump,0.4962863763112995
100,p_h2h_desantis,0.5037136236887005
100,p_multi_trump,0.4577255778703279
100,p_multi_desantis,0.3487090272564756
100,p_multi_other,0.19356539487319652
100,p_switch_trump,0.19921328637400576
100,p_switch_desantis,0.8007867136259942
101,p_h2h_trump,0.49251969496759607
101,p_h2h_desantis,0.5074803050324038
101,p_multi_trump,0.45897953661399454
101,p_multi_desantis,0.3470951352709414
101,p_multi_other,0.19392532811506394
101,p_switch_trump,0.17295398532831535
101,p_switch_desantis,0.8270460146716847
102,p_h2h_trump,0.49195062152099167
102,p_h2h_desantis,0.5080493784790083
102,p_multi_trump,0.4618837283804259
102,p_multi_desantis,0.34248388279627423
102,p_multi_other,0.1956323888232998
102,p_switch_trump,0.15369077340114146
102,p_switch_desantis,0.8463092265988585
103,p_h2h_trump,0.48977324753449364
